conv_id,empathy,relevance,fluency
hit:401_conv:803,3,4,3.0
hit:478_conv:956,4,3,3.0
hit:887_conv:1775,3,5,5.0
hit:965_conv:1930,1,5,5.0
hit:3379_conv:6758,3,5,5.0
hit:3636_conv:7272,3,4,5.0
hit:7112_conv:14224,3,4,5.0
hit:8681_conv:17362,3,4,4.0
hit:11447_conv:22894,1,2,2.0
hit:12057_conv:24115,4,5,5.0
hit:529_conv:1059,3,4,5.0
hit:1670_conv:3341,2,5,5.0
hit:2088_conv:4177,3,3,4.0
hit:3735_conv:7470,1,4,5.0
hit:4103_conv:8207,5,4,4.0
hit:7797_conv:15594,5,5,5.0
hit:8986_conv:17972,5,5,5.0
hit:9116_conv:18233,1,4,5.0
hit:9349_conv:18698,4,5,5.0
hit:9988_conv:19976,3,5,5.0
hit:1490_conv:2981,2,5,5.0
hit:1502_conv:3005,3,5,5.0
hit:2097_conv:4194,4,5,5.0
hit:3104_conv:6209,3,4,5.0
hit:3931_conv:7863,2,5,5.0
hit:3961_conv:7922,2,5,5.0
hit:4090_conv:8181,2,5,5.0
hit:4233_conv:8466,2,4,5.0
hit:4345_conv:8691,4,5,3.0
hit:4722_conv:9445,3,5,5.0
hit:4844_conv:9689,4,5,5.0
hit:5323_conv:10646,3,5,5.0
hit:5574_conv:11149,2,5,4.0
hit:5579_conv:11158,5,5,5.0
hit:6053_conv:12106,1,5,5.0
hit:6367_conv:12734,4,5,4.0
hit:6613_conv:13226,2,4,5.0
hit:6759_conv:13519,5,5,5.0
hit:8012_conv:16024,5,5,5.0
hit:8290_conv:16581,5,5,5.0
hit:8311_conv:16622,5,3,5.0
hit:9338_conv:18676,3,5,5.0
hit:9772_conv:19545,1,5,5.0
hit:10145_conv:20290,4,5,5.0
hit:10264_conv:20529,3,5,4.0
hit:11090_conv:22181,4,5,4.0
hit:11786_conv:23572,2,3,5.0
hit:11794_conv:23589,1,1,5.0
hit:12267_conv:24535,3,3,5.0
hit:12276_conv:24553,5,5,5.0
